,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_42,ensayo_42,ensayo_42,ensayo_42,ensayo_44,ensayo_44,ensayo_44,ensayo_44,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9
punto_muestreo,28005002,28016001,28047002,28092005,28102001,28171001,28005002,28006004,28013002,28014002,28016001,28045002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28005002,28016001,28045002,28092005,28102001,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28007004,28009001,28016001,28047002,28148004,28161001,28171001,28180001
miDt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 01:00:00,3.0,1.0,1.0,1.0,2.0,2.0,13.0,17.0,17.0,13.0,4.0,3.0,18.0,37.0,19.0,1.0,28.0,18.0,14.0,18.0,20.0,19.0,61.0,14.0,97.0,11.0,13.0,20.0,16.0,12.0,4.0,10.0,27.0,24.0,41.0,56.0,4.0,135.0,28.0,19.0,8.0,35.0,15.0,50.0,10.0,7.0,21.0,20.0,71.0,79.0,66.5,72.0,66.0,84.0,63.0,67.0,67.0,52.0,38.0,86.0,12.0,58.0,65.0,67.0,54.0,75.0,31.0,69.0,67.0,65.0,0.1,0.1,0.1,0.2,0.4,0.1,0.4,0.3,1.5,1.2,1.1,1.1,0.2,0.1,0.1,0.1,0.6,0.4,0.6,0.4,0.3,0.4,19.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,7.0,1.0,42.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,68.0,9.0,11.0,17.0,14.0,10.0,2.0,8.0,17.0,22.0,34.0,46.0,2.0,71.0,24.0,17.0,6.0,30.0,12.0,43.0,8.0,5.0,15.0,7.0,25.0,6.0,10.0,45.0,5.0,9.0,17.0
2018-01-01 02:00:00,3.0,1.0,1.0,1.0,2.0,2.0,8.0,23.0,9.0,25.0,6.0,11.0,24.0,27.0,22.0,1.0,30.0,14.0,22.0,19.0,32.0,8.0,44.0,15.0,144.0,14.0,19.0,21.0,15.0,19.0,3.0,13.0,32.0,38.0,30.0,29.0,7.0,45.0,13.0,26.0,7.0,63.0,6.0,40.0,15.0,6.0,15.0,9.0,71.0,70.0,61.5,63.0,58.0,86.0,57.0,57.0,54.0,62.0,57.0,80.0,48.0,68.0,56.0,68.0,30.5,84.0,39.0,59.0,55.0,67.0,0.1,0.1,0.1,0.5,0.3,0.1,0.7,0.3,1.5,1.2,1.2,1.1,0.2,0.1,0.1,0.1,0.6,0.4,0.6,0.4,0.3,0.4,48.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,9.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,71.0,12.0,16.0,19.0,13.0,17.0,1.0,10.0,25.0,36.0,26.0,26.0,5.0,32.0,11.0,24.0,5.0,52.0,4.0,37.0,13.0,4.0,12.0,12.0,5.0,4.0,14.0,29.0,5.0,13.0,6.0
2018-01-01 03:00:00,3.0,1.0,1.0,1.0,2.0,1.0,22.0,14.0,10.0,22.0,16.0,10.0,19.0,15.0,17.0,5.0,21.0,9.0,15.0,7.0,22.0,56.0,36.0,16.0,92.0,15.0,18.0,18.0,18.0,13.0,3.0,11.0,12.0,31.0,30.0,27.0,8.0,35.0,15.0,21.0,13.0,35.0,10.0,30.0,12.0,8.0,13.0,25.0,69.0,70.0,64.5,48.0,62.0,86.0,58.0,76.0,59.0,56.0,55.0,75.0,50.0,64.0,56.0,63.0,43.5,72.0,48.0,54.0,50.0,69.0,0.2,0.1,0.1,0.3,0.3,0.1,0.3,0.3,1.5,1.2,1.1,1.1,0.2,0.1,0.1,0.1,0.6,0.4,0.7,0.4,0.3,0.5,26.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,52.0,13.0,16.0,16.0,16.0,11.0,1.0,9.0,8.0,29.0,26.0,24.0,5.0,29.0,13.0,19.0,11.0,32.0,8.0,28.0,9.0,6.0,10.0,12.0,3.0,3.0,9.0,18.0,8.0,8.0,13.0
2018-01-01 04:00:00,2.0,1.0,1.0,1.0,2.0,2.0,23.0,11.0,13.0,21.0,15.0,12.0,14.0,15.0,12.0,3.0,15.0,10.0,17.0,10.0,21.0,9.0,33.0,11.0,43.0,12.0,20.0,12.0,12.0,8.0,3.0,16.0,6.0,21.0,26.0,18.0,4.0,17.0,10.0,21.0,9.0,27.0,11.0,23.0,17.0,8.0,15.0,39.0,70.0,55.0,68.5,49.0,63.0,86.0,54.0,81.0,66.0,52.0,56.0,87.0,55.0,68.0,48.0,69.0,47.5,66.0,53.0,39.0,39.0,61.0,0.2,0.1,0.1,0.4,0.3,0.1,0.1,0.3,1.5,1.2,1.0,1.1,0.2,0.1,0.1,0.1,0.5,0.4,0.7,0.4,0.3,0.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,35.0,10.0,18.0,10.0,10.0,6.0,1.0,13.0,3.0,19.0,21.0,16.0,2.0,14.0,8.0,19.0,7.0,25.0,9.0,21.0,11.0,6.0,11.0,7.0,5.0,3.0,6.0,22.0,13.0,9.0,9.0
2018-01-01 05:00:00,2.0,1.0,1.0,1.0,2.0,2.0,6.0,14.0,12.0,13.0,13.0,10.0,13.0,13.0,11.0,4.0,15.0,9.0,16.0,18.0,14.0,3.0,21.0,12.0,19.0,16.0,19.0,11.0,12.0,10.0,3.0,18.0,7.0,32.0,20.0,16.0,6.0,16.0,8.0,15.0,7.0,20.0,6.0,15.0,13.0,7.0,11.0,58.0,66.0,50.0,69.0,55.0,54.0,87.0,52.0,79.0,45.0,54.0,52.0,73.0,49.0,60.0,45.0,63.0,44.5,72.0,55.0,42.0,31.0,56.0,0.1,0.1,0.1,0.5,0.3,0.1,0.1,0.3,1.5,1.2,1.0,1.1,0.2,0.1,0.1,0.1,0.4,0.4,0.6,0.4,0.3,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,17.0,14.0,17.0,9.0,10.0,8.0,1.0,15.0,4.0,28.0,17.0,14.0,4.0,13.0,6.0,13.0,5.0,18.0,4.0,13.0,9.0,5.0,8.0,5.0,3.0,5.0,4.0,17.0,9.0,9.0,4.0
2018-01-01 06:00:00,2.0,1.0,1.0,1.0,2.0,2.0,8.0,12.0,11.0,16.0,14.0,18.0,15.0,16.0,11.0,9.0,16.0,16.0,16.0,9.0,17.0,23.0,12.0,12.0,14.0,13.0,21.0,13.0,16.0,16.0,4.0,52.0,8.0,44.0,20.0,17.0,14.0,17.0,9.0,19.0,6.0,20.0,8.0,16.0,14.0,8.0,16.0,58.0,67.0,43.0,66.5,38.0,45.0,81.0,35.0,78.0,32.0,55.0,51.0,51.0,48.0,58.0,36.0,57.0,41.0,61.0,47.0,46.0,26.0,54.0,0.1,0.1,0.1,0.4,0.3,0.1,0.1,0.3,1.5,1.2,1.0,1.1,0.2,0.1,0.1,0.1,0.4,0.4,0.8,0.4,0.3,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,12.0,10.0,19.0,11.0,14.0,14.0,2.0,38.0,5.0,36.0,17.0,15.0,11.0,14.0,7.0,17.0,4.0,18.0,6.0,14.0,10.0,6.0,11.0,6.0,3.0,1.0,3.0,11.0,9.0,9.0,9.0
2018-01-01 07:00:00,2.0,1.0,1.0,1.0,2.0,2.0,11.0,11.0,16.0,13.0,12.0,19.0,9.0,14.0,10.0,10.0,15.0,15.0,15.0,10.0,16.0,22.0,4.0,10.0,15.0,17.0,24.0,15.0,23.0,13.0,6.0,103.0,14.0,35.0,24.0,21.0,14.0,18.0,11.0,18.0,5.0,17.0,7.0,17.0,12.0,8.0,9.0,53.0,61.0,39.0,58.0,28.0,47.0,82.0,26.0,72.0,42.0,49.0,47.0,46.0,46.0,55.0,39.0,57.0,41.5,70.0,44.0,48.0,18.0,59.0,0.2,0.1,0.1,0.5,0.3,0.1,0.2,0.4,1.5,1.2,1.0,1.1,0.2,0.1,0.1,0.1,0.4,0.4,0.9,0.5,0.3,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,13.0,15.0,22.0,13.0,20.0,11.0,4.0,57.0,10.0,31.0,21.0,19.0,12.0,15.0,9.0,16.0,3.0,15.0,5.0,15.0,8.0,6.0,7.0,5.0,8.0,5.0,4.0,7.0,4.0,8.0,6.0
2018-01-01 08:00:00,2.0,1.0,1.0,1.0,2.0,2.0,21.0,12.0,15.0,18.0,12.0,19.0,11.0,16.0,11.0,11.0,14.0,11.0,15.0,8.0,16.0,11.0,15.0,7.0,15.0,14.0,14.0,15.0,16.0,11.0,4.0,19.0,11.0,36.0,24.0,36.0,18.0,15.0,13.0,15.0,5.0,17.0,14.0,18.0,12.0,13.0,8.0,54.0,59.0,49.0,57.0,43.0,48.0,79.0,52.0,74.0,37.0,52.0,36.0,37.0,49.0,41.0,44.0,58.0,40.0,51.0,43.0,51.0,14.0,63.0,0.2,0.1,0.1,0.6,0.4,0.1,0.2,0.3,1.5,1.2,0.9,1.1,0.2,0.1,0.1,0.1,0.3,0.4,0.6,0.4,0.3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,13.0,12.0,12.0,13.0,14.0,9.0,2.0,16.0,8.0,34.0,20.0,29.0,16.0,12.0,11.0,13.0,3.0,15.0,12.0,16.0,8.0,8.0,6.0,4.0,11.0,5.0,4.0,8.0,6.0,7.0,6.0
